precision,h,direction_seed,batch_index,direction_index,d_star,d_h,e_h,norm_u2,vector_error_h,z_dir_norm2,loss_plus,loss_minus,loss_base
fp32,1e-09,730000,0,0,15.072630044239387,0.0,-15.072630044239387,407932189.6846677,92675738561.16356,92675738353.54216,1.750921607017517,1.750921607017517,1.7509217262268066
fp32,3e-09,730000,0,0,15.072630044239387,19.868214925130207,4.79558488089082,407932189.6846677,9381475337.892916,92675738353.54216,1.7509218454360962,1.7509217262268066,1.7509217262268066
fp32,1e-08,730000,0,0,15.072630044239387,11.920928955078123,-3.1517010891612625,407932189.6846677,4052080085.447597,92675738353.54216,1.7509219646453855,1.7509217262268066,1.7509217262268066
fp32,3e-08,730000,0,0,15.072630044239387,21.85503641764323,6.782406373403843,407932189.6846677,18765303430.53625,92675738353.54216,1.750922441482544,1.7509211301803589,1.7509217262268066
fp32,1e-07,730000,0,0,15.072630044239387,14.901161193847656,-0.1714688503917312,407932189.6846677,11993845.46559594,92675738353.54216,1.7509233951568604,1.7509204149246216,1.7509217262268066
fp32,3e-07,730000,0,0,15.072630044239387,13.907750447591146,-1.164879596648241,407932189.6846677,553541330.8397294,92675738353.54216,1.7509260177612305,1.750917673110962,1.7509217262268066
fp32,1e-06,730000,0,0,15.072630044239387,15.2587890625,0.1861590182606125,407932189.6846677,14136963.493850963,92675738353.54216,1.7509372234344482,1.7509067058563232,1.7509217262268066
fp32,3e-06,730000,0,0,15.072630044239387,15.060106913248696,-0.0125231309906901,407932189.6846677,63975.51979142693,92675738353.54216,1.750967025756836,1.7508766651153564,1.7509217262268066
fp32,1e-05,730000,0,0,15.072630044239387,15.074014663696287,0.0013846194568998,407932189.6846677,782.0757805208362,92675738353.54216,1.7510721683502195,1.7507706880569458,1.7509217262268066
fp32,3e-05,730000,0,0,15.072630044239387,15.074014663696287,0.0013846194569016,407932189.6846677,782.0757805228429,92675738353.54216,1.75137197971344,1.7504675388336182,1.7509217262268066
fp32,0.0001,730000,0,0,15.072630044239387,15.05434513092041,-0.0182849133189773,407932189.6846677,136387.2549047228,92675738353.54216,1.7524044513702393,1.7493935823440552,1.7509217262268066
fp32,0.0003,730000,0,0,15.072630044239387,14.99454180399577,-0.078088240243618,407932189.6846677,2487477.9999248832,92675738353.54216,1.755314826965332,1.7463181018829346,1.7509217262268066
fp32,0.001,730000,0,0,15.072630044239387,14.803290367126465,-0.2693396771129226,407932189.6846677,29592976.338120632,92675738353.54216,1.7652846574783323,1.7356780767440796,1.7509217262268066
