precision,point,h,V_dir_sample,V_h_dep,rho_sample,scalar_nmse,directional_corr,sign_agreement,d_h_zero_fraction,interpretation
fp32,tiny_h_1e-5,1e-05,123203315579.24551,63183.20877486944,5.128369190213019e-07,5.128333225386179e-07,0.9999997481252,1.0,0.0,below random-direction floor
fp32,default_h_1e-3,0.001,123203315579.24551,215119057.01780155,0.0017460492520547,0.0017460399428449,0.9993288658555648,0.96875,0.0,below random-direction floor
fp32,min_rho,1e-05,123203315579.24551,63183.20877486944,5.128369190213019e-07,5.128333225386179e-07,0.9999997481252,1.0,0.0,below random-direction floor
fp32,largest_tested_h,0.01,123203315579.24551,114327060347.62737,0.9279544126723696,0.9279531039820236,0.2960474833838057,0.515625,0.0,near random-direction floor
fp16,tiny_h_1e-5,1e-05,162271682787.80917,144798441393.20248,0.8923210686275117,0.8923216691380234,0.3804284630543296,0.0625,0.9375,near random-direction floor
fp16,default_h_1e-3,0.001,162271682787.80917,258915223.09689748,0.0015955662667001,0.0015955583284968,0.999298942269188,1.0,0.0,below random-direction floor
fp16,min_rho,0.001,162271682787.80917,258915223.09689748,0.0015955662667001,0.0015955583284968,0.999298942269188,1.0,0.0,below random-direction floor
fp16,largest_tested_h,0.005,162271682787.80917,31695623634.26333,0.1953244280809572,0.1953212255879623,0.8983125221697299,0.90625,0.0,below random-direction floor
int8,tiny_h_1e-5,1e-05,220413219144.50427,10277170879218.994,46.62683535546576,46.625110193456486,0.0810132456966964,0.421875,0.1875,no reliable finite-difference signal
int8,default_h_1e-3,0.001,220413219144.50427,10369752358.41091,0.0470468713204194,0.0470458996933484,0.9776521949290718,0.921875,0.03125,below random-direction floor
int8,min_rho,0.0015,220413219144.50427,4874640939.890946,0.0221159191758598,0.0221155410655185,0.989282630911994,0.953125,0.015625,below random-direction floor
int8,largest_tested_h,0.01,220413219144.50427,237113841179.16885,1.0757696026557988,1.0757642257286442,0.2157902950780247,0.546875,0.0,near random-direction floor
int4,tiny_h_1e-5,1e-05,277960913698.8141,168882259886925.94,607.5755675127732,607.5787408144025,-0.0500942418618165,0.5,0.0,no reliable finite-difference signal
int4,default_h_1e-3,0.001,277960913698.8141,2377247569474.1616,8.552452709412375,8.552295028863144,0.4873563635712886,0.71875,0.0,above random-direction floor
int4,min_rho,0.005,277960913698.8141,108056352035.86208,0.388746570868403,0.3887416438899539,0.7832570751414216,0.78125,0.015625,below random-direction floor
int4,largest_tested_h,0.005,277960913698.8141,108056352035.86208,0.388746570868403,0.3887416438899539,0.7832570751414216,0.78125,0.015625,below random-direction floor
