precision,checkpoint_id,G,G2,d,Delta_eff,Delta_eff_source,Delta_notes,curvature_h_low,curvature_h_high,n_curvature_samples,L_loc_median,L_loc_p90,L_loc_p95,L_loc_status,L_loc,L_loc_source,A_plugin,B_plugin,h_ref_plugin,tau,rho_min_plugin,h_low,h_high,default_h,tiny_h,default_in_window,tiny_in_window,status,notes
fp16,task_start_seed16_deterministic,15.22340436007415,231.75204031032467,406883417,6e-05,numeric_visibility_transition_delta_approx_2h,"h_vis=3e-05; FP precision estimate, not hardware ulp",0.0001,0.003,384,1.4097134088880953e-05,2.6600188121793696e-05,2.8955233424005385e-05,ok,2.6600188121793696e-05,directional_curvature_p90_middle_h,9.000000066358076e-10,2021835.5410820676,0.0001452526858142438,1.0,0.08531475840416762,3.0027382182606247e-05,0.0007026367669331131,0.001,1e-05,False,False,window,conservative plug-in from direct Delta/L estimates
fp16,task_start_seed16_deterministic,15.22340436007415,231.75204031032467,406883417,6e-05,numeric_visibility_transition_delta_approx_2h,"h_vis=3e-05; FP precision estimate, not hardware ulp",0.0001,0.003,384,1.4097134088880953e-05,2.6600188121793696e-05,2.8955233424005385e-05,ok,2.6600188121793696e-05,directional_curvature_p90_middle_h,9.000000066358076e-10,2021835.5410820676,0.0001452526858142438,5.0,0.08531475840416762,1.341689624053667e-05,0.0015725203771430314,0.001,1e-05,True,False,window,conservative plug-in from direct Delta/L estimates
fp16,task_start_seed16_deterministic,15.22340436007415,231.75204031032467,406883417,6e-05,numeric_visibility_transition_delta_approx_2h,"h_vis=3e-05; FP precision estimate, not hardware ulp",0.0001,0.003,384,1.4097134088880953e-05,2.6600188121793696e-05,2.8955233424005385e-05,ok,2.6600188121793696e-05,directional_curvature_p90_middle_h,9.000000066358076e-10,2021835.5410820676,0.0001452526858142438,10.0,0.08531475840416762,9.486919331900491e-06,0.0022239403538834336,0.001,1e-05,True,True,window,conservative plug-in from direct Delta/L estimates
fp32,task_start_seed16_deterministic,14.009288773901968,196.2601719505757,406883417,2e-08,numeric_visibility_transition_delta_approx_2h,"h_vis=1e-08; FP precision estimate, not hardware ulp",0.0001,0.003,384,8.345044711873105e-06,2.2696504649027452e-05,2.97865262525555e-05,ok,2.2696504649027452e-05,directional_curvature_p90_middle_h,1.0000000073731195e-16,1738144.0268923051,2.754092742096703e-06,1.0,2.636773816395975e-05,1.0000000132967611e-08,0.0007585026803447888,0.001,1e-05,False,True,window,conservative plug-in from direct Delta/L estimates
fp32,task_start_seed16_deterministic,14.009288773901968,196.2601719505757,406883417,2e-08,numeric_visibility_transition_delta_approx_2h,"h_vis=1e-08; FP precision estimate, not hardware ulp",0.0001,0.003,384,8.345044711873105e-06,2.2696504649027452e-05,2.97865262525555e-05,ok,2.2696504649027452e-05,directional_curvature_p90_middle_h,1.0000000073731195e-16,1738144.0268923051,2.754092742096703e-06,5.0,2.636773816395975e-05,4.472134586197065e-09,0.0016960635545082454,0.001,1e-05,True,True,window,conservative plug-in from direct Delta/L estimates
fp32,task_start_seed16_deterministic,14.009288773901968,196.2601719505757,406883417,2e-08,numeric_visibility_transition_delta_approx_2h,"h_vis=1e-08; FP precision estimate, not hardware ulp",0.0001,0.003,384,8.345044711873105e-06,2.2696504649027452e-05,2.97865262525555e-05,ok,2.2696504649027452e-05,directional_curvature_p90_middle_h,1.0000000073731195e-16,1738144.0268923051,2.754092742096703e-06,10.0,2.636773816395975e-05,3.162296890969375e-09,0.0023985960814385337,0.001,1e-05,True,True,window,conservative plug-in from direct Delta/L estimates
int4,task_start_seed16_deterministic,19.066966301252503,363.54920393309857,406883417,0.013262633573972721,quantizer_scale_median_weighted,scale_min=0.002138192532584071; scale_max=0.1428571492433548; saturation=0.026077973289116502,0.0001,0.003,384,0.0001345077335199435,0.028607642302189526,0.03658965278787533,ok,0.028607642302189526,directional_curvature_p90_middle_h,4.3974362653595335e-05,1490736594349.8433,7.369697471200563e-05,1.0,16193.10861087835,,,0.001,1e-05,,,no_window,rho_min exceeds tau
int4,task_start_seed16_deterministic,19.066966301252503,363.54920393309857,406883417,0.013262633573972721,quantizer_scale_median_weighted,scale_min=0.002138192532584071; scale_max=0.1428571492433548; saturation=0.026077973289116502,0.0001,0.003,384,0.0001345077335199435,0.028607642302189526,0.03658965278787533,ok,0.028607642302189526,directional_curvature_p90_middle_h,4.3974362653595335e-05,1490736594349.8433,7.369697471200563e-05,5.0,16193.10861087835,,,0.001,1e-05,,,no_window,rho_min exceeds tau
int4,task_start_seed16_deterministic,19.066966301252503,363.54920393309857,406883417,0.013262633573972721,quantizer_scale_median_weighted,scale_min=0.002138192532584071; scale_max=0.1428571492433548; saturation=0.026077973289116502,0.0001,0.003,384,0.0001345077335199435,0.028607642302189526,0.03658965278787533,ok,0.028607642302189526,directional_curvature_p90_middle_h,4.3974362653595335e-05,1490736594349.8433,7.369697471200563e-05,10.0,16193.10861087835,,,0.001,1e-05,,,no_window,rho_min exceeds tau
int8,task_start_seed16_deterministic,30.652885360131275,939.5993809013502,406883417,0.0008443626099339448,quantizer_scale_median_weighted,scale_min=0.00013768953795079142; scale_max=0.007920152507722378; saturation=0.008016716607744424,0.0001,0.003,384,1.915087775625917e-05,0.0017715005420197159,0.0033512171867811687,ok,0.0017715005420197159,directional_curvature_p90_middle_h,1.7823705557777883e-07,2211769342.104089,9.474679790183624e-05,1.0,39.709910861337065,,,0.001,1e-05,,,no_window,rho_min exceeds tau
