step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.8701171875,1.8701171875,1.8701171875,0.0,,0.0,finite_difference,,True,0.0,3.578688621520996,True,,,False
2,1.9248046875,1.923828125,1.92431640625,48.82812499999999,,48.82812499999999,finite_difference,,True,241.67290222233075,0.4620792865753174,True,,,False
3,1.80859375,1.80859375,1.80859375,0.0,,0.0,finite_difference,,True,0.0,0.447906494140625,True,,,False
4,1.7978515625,1.7978515625,1.7978515625,0.0,,0.0,finite_difference,,True,0.0,0.5955228805541992,True,,,False
5,1.8271484375,1.828125,1.82763671875,-48.82812499999999,,-48.82812499999999,finite_difference,,True,241.73679300363193,0.45002150535583496,True,,,False
6,1.8583984375,1.8583984375,1.8583984375,0.0,,0.0,finite_difference,,True,0.0,0.4431431293487549,True,,,False
7,1.7705078125,1.7705078125,1.7705078125,0.0,,0.0,finite_difference,,True,0.0,0.4419710636138916,True,,,False
8,1.9384765625,1.9384765625,1.9384765625,0.0,,0.0,finite_difference,,True,0.0,0.4520683288574219,True,,,False
9,1.84375,1.84375,1.84375,0.0,,0.0,finite_difference,,True,0.0,0.4425346851348877,True,,,False
10,1.9697265625,1.9697265625,1.9697265625,0.0,,0.0,finite_difference,,True,0.0,0.44593214988708496,True,,,False
11,1.9765625,1.9765625,1.9765625,0.0,,0.0,finite_difference,,True,0.0,0.4475436210632324,True,,,False
12,1.74609375,1.74609375,1.74609375,0.0,,0.0,finite_difference,,True,0.0,0.44495320320129395,True,,,False
13,1.7900390625,1.7900390625,1.7900390625,0.0,,0.0,finite_difference,,True,0.0,0.4522576332092285,True,,,False
14,1.826171875,1.826171875,1.826171875,0.0,,0.0,finite_difference,,True,0.0,0.4421079158782959,True,,,False
15,1.732421875,1.7314453125,1.73193359375,48.82812499999999,,48.82812499999999,finite_difference,,True,241.82481856623454,0.44619011878967285,True,,,False
16,1.802734375,1.8037109375,1.80322265625,-48.82812499999999,,-48.82812499999999,finite_difference,,True,242.36895708874653,0.4494175910949707,True,,,False
17,1.796875,1.7978515625,1.79736328125,-48.82812499999999,,-48.82812499999999,finite_difference,,True,242.46207415960163,0.45223212242126465,True,,,False
18,1.837890625,1.8408203125,1.83935546875,-146.484375,,-146.484375,finite_difference,,True,726.7978408749162,0.4431629180908203,True,,,False
19,1.9111328125,1.912109375,1.91162109375,-48.82812499999999,,-48.82812499999999,finite_difference,,True,241.69201264645454,0.45325517654418945,True,,,False
20,2.001953125,1.99609375,1.9990234375,292.96875,,292.96875,finite_difference,,True,1455.570828638899,0.4427192211151123,True,,,False
21,1.8701171875,1.865234375,1.86767578125,244.14062499999997,,244.14062499999997,finite_difference,,True,1211.8012690695627,0.44446444511413574,True,,,False
22,1.927734375,1.9306640625,1.92919921875,-146.484375,,-146.484375,finite_difference,,True,726.6284525025288,0.45381808280944824,True,,,False
23,2.04296875,2.05078125,2.046875,-390.62499999999994,,-390.62499999999994,finite_difference,,True,1936.872025933937,0.4424164295196533,True,,,False
24,1.8095703125,1.7939453125,1.8017578125,781.2499999999999,,781.2499999999999,finite_difference,,True,3871.113754219692,0.4438662528991699,True,,,False
25,1.80859375,1.7900390625,1.79931640625,927.7343749999999,,927.7343749999999,finite_difference,,True,4598.184225853592,0.45276331901550293,True,,,False
