step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,0.69140625,0.68017578125,0.685791015625,0.0633473458977061,,0.0633473458977061,finite_difference,,True,0.31388027880728653,1.3772752285003662,True,,,False
2,0.6669921875,0.67333984375,0.670166015625,-0.03580502159435562,,-0.03580502159435562,finite_difference,,True,0.17737187125011494,0.4375956058502197,True,,,False
3,0.6728515625,0.67626953125,0.674560546875,-0.019279627012345334,,-0.019279627012345334,finite_difference,,True,0.09592098072025856,0.44187116622924805,True,,,False
4,0.6767578125,0.67138671875,0.674072265625,0.030296556733685524,,0.030296556733685524,finite_difference,,True,0.1499006329062948,0.4408717155456543,True,,,False
5,0.68994140625,0.69873046875,0.6943359375,-0.04957618374603086,,-0.04957618374603086,finite_difference,,True,0.24552050914889595,0.44014883041381836,True,,,False
6,0.697265625,0.6904296875,0.69384765625,0.03855925402469067,,0.03855925402469067,finite_difference,,True,0.19071637538159594,0.43843960762023926,True,,,False
7,0.65478515625,0.6552734375,0.655029296875,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.013648585684508238,0.44187235832214355,True,,,False
8,0.6796875,0.68408203125,0.681884765625,-0.02478809187301543,,-0.02478809187301543,finite_difference,,True,0.12287812982431014,0.4392266273498535,True,,,False
9,0.68994140625,0.68359375,0.686767578125,0.03580502159435562,,0.03580502159435562,finite_difference,,True,0.17725586882740701,0.4374117851257324,True,,,False
10,0.662109375,0.67578125,0.6689453125,-0.07711850804938133,,-0.07711850804938133,finite_difference,,True,0.3820694108150269,0.43820738792419434,True,,,False
11,0.6982421875,0.69873046875,0.698486328125,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.013628074626215238,0.43754076957702637,True,,,False
12,0.70068359375,0.69189453125,0.6962890625,0.04957618374603086,,0.04957618374603086,finite_difference,,True,0.24632664232087964,0.43970727920532227,True,,,False
13,0.70751953125,0.7060546875,0.706787109375,0.008262697291005143,,0.008262697291005143,finite_difference,,True,0.040904650811027454,0.44081807136535645,True,,,False
14,0.68603515625,0.6796875,0.682861328125,0.03580502159435562,,0.03580502159435562,finite_difference,,True,0.1781235515662357,0.4389841556549072,True,,,False
15,0.67138671875,0.67041015625,0.6708984375,0.005508464860670095,,0.005508464860670095,finite_difference,,True,0.027275904429253567,0.44033193588256836,True,,,False
16,0.6669921875,0.66064453125,0.663818359375,0.03580502159435562,,0.03580502159435562,finite_difference,,True,0.17737700860373878,0.4400489330291748,True,,,False
17,0.68701171875,0.685546875,0.686279296875,0.008262697291005143,,0.008262697291005143,finite_difference,,True,0.040997482342213745,0.4428691864013672,True,,,False
18,0.69580078125,0.69384765625,0.69482421875,0.01101692972134019,,0.01101692972134019,finite_difference,,True,0.05461620923347369,0.4422454833984375,True,,,False
19,0.6982421875,0.6982421875,0.6982421875,0.0,,0.0,finite_difference,,True,0.0,0.4485514163970947,True,,,False
20,0.68212890625,0.6748046875,0.678466796875,0.041313486455025715,,0.041313486455025715,finite_difference,,True,0.20468921631556833,0.439685583114624,True,,,False
21,0.67919921875,0.677734375,0.678466796875,0.008262697291005143,,0.008262697291005143,finite_difference,,True,0.04083956512996165,0.4397871494293213,True,,,False
22,0.6728515625,0.67431640625,0.673583984375,-0.008262697291005143,,-0.008262697291005143,finite_difference,,True,0.04104883451792811,0.44551682472229004,True,,,False
23,0.6904296875,0.6943359375,0.6923828125,-0.02203385944268038,,-0.02203385944268038,finite_difference,,True,0.10919607975784357,0.43764543533325195,True,,,False
24,0.681640625,0.67919921875,0.680419921875,0.013771162151675238,,0.013771162151675238,finite_difference,,True,0.06847127454418135,0.43890929222106934,True,,,False
25,0.67333984375,0.6708984375,0.672119140625,0.013771162151675238,,0.013771162151675238,finite_difference,,True,0.06829533074471353,0.4426143169403076,True,,,False
26,0.68994140625,0.68896484375,0.689453125,0.005508464860670095,,0.005508464860670095,finite_difference,,True,0.02723417138449529,0.4415137767791748,True,,,False
27,0.68115234375,0.681640625,0.681396484375,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.013657403710875716,0.43852734565734863,True,,,False
28,0.6884765625,0.6943359375,0.69140625,-0.03305078916402057,,-0.03305078916402057,finite_difference,,True,0.16429615116442917,0.4380326271057129,True,,,False
29,0.68994140625,0.68603515625,0.68798828125,0.02203385944268038,,0.02203385944268038,finite_difference,,True,0.109116691162132,0.44478273391723633,True,,,False
30,0.66552734375,0.67333984375,0.66943359375,-0.04406771888536076,,-0.04406771888536076,finite_difference,,True,0.21831149299094457,0.43567728996276855,True,,,False
31,0.69384765625,0.68701171875,0.6904296875,0.03855925402469067,,0.03855925402469067,finite_difference,,True,0.19182136745242942,0.44074559211730957,True,,,False
32,0.677734375,0.67724609375,0.677490234375,0.0027542324303350477,,0.0027542324303350477,finite_difference,,True,0.013666916618596297,0.44394659996032715,True,,,False
33,0.69873046875,0.69482421875,0.69677734375,0.02203385944268038,,0.02203385944268038,finite_difference,,True,0.1091153653158473,0.44174790382385254,True,,,False
34,0.689453125,0.68603515625,0.687744140625,0.019279627012345334,,0.019279627012345334,finite_difference,,True,0.09539928907679755,0.4417734146118164,True,,,False
35,0.6787109375,0.6826171875,0.6806640625,-0.02203385944268038,,-0.02203385944268038,finite_difference,,True,0.10937250962942328,0.4453575611114502,True,,,False
36,0.677734375,0.6806640625,0.67919921875,-0.016525394582010286,,-0.016525394582010286,finite_difference,,True,0.08202901831306303,0.4400160312652588,True,,,False
37,0.69775390625,0.6953125,0.696533203125,0.013771162151675238,,0.013771162151675238,finite_difference,,True,0.06817442977333928,0.4379079341888428,True,,,False
38,0.67041015625,0.67724609375,0.673828125,-0.03855925402469067,,-0.03855925402469067,finite_difference,,True,0.19101699414510634,0.4427967071533203,True,,,False
39,0.67919921875,0.681640625,0.680419921875,-0.013771162151675238,,-0.013771162151675238,finite_difference,,True,0.0682881080992241,0.44461917877197266,True,,,False
40,0.68359375,0.68017578125,0.681884765625,0.019279627012345334,,0.019279627012345334,finite_difference,,True,0.09549169751796166,0.4443972110748291,True,,,False
41,0.703125,0.7080078125,0.70556640625,-0.027542324303350477,,-0.027542324303350477,finite_difference,,True,0.13685334343215064,0.44127631187438965,True,,,False
42,0.6748046875,0.681640625,0.67822265625,-0.03855925402469067,,-0.03855925402469067,finite_difference,,True,0.19097280349149387,0.44093966484069824,True,,,False
43,0.67724609375,0.6748046875,0.676025390625,0.013771162151675238,,0.013771162151675238,finite_difference,,True,0.06816863427054597,0.44179439544677734,True,,,False
44,0.677734375,0.6875,0.6826171875,-0.05508464860670095,,-0.05508464860670095,finite_difference,,True,0.2730837872493614,0.44200801849365234,True,,,False
45,0.6845703125,0.68701171875,0.685791015625,-0.013771162151675238,,-0.013771162151675238,finite_difference,,True,0.06834646932574415,0.4430570602416992,True,,,False
46,0.70361328125,0.70068359375,0.7021484375,0.016525394582010286,,0.016525394582010286,finite_difference,,True,0.08189450827482254,0.4415626525878906,True,,,False
47,0.68017578125,0.66943359375,0.6748046875,0.06059311346737105,,0.06059311346737105,finite_difference,,True,0.30023195007975073,0.4450826644897461,True,,,False
48,0.70703125,0.70263671875,0.704833984375,0.02478809187301543,,0.02478809187301543,finite_difference,,True,0.1225182260159547,0.44411659240722656,True,,,False
49,0.67529296875,0.66064453125,0.66796875,0.08262697291005143,,0.08262697291005143,finite_difference,,True,0.4108583056879377,0.443129301071167,True,,,False
50,0.68212890625,0.68115234375,0.681640625,0.005508464860670095,,0.005508464860670095,finite_difference,,True,0.027348712665886107,0.4412417411804199,True,,,False
51,0.67333984375,0.6787109375,0.676025390625,-0.030296556733685524,,-0.030296556733685524,finite_difference,,True,0.15021605142033673,0.4413299560546875,True,,,False
52,0.67822265625,0.669921875,0.674072265625,0.04682195131569581,,0.04682195131569581,finite_difference,,True,0.2319874310838099,0.44201087951660156,True,,,False
53,0.6845703125,0.6923828125,0.6884765625,-0.04406771888536076,,-0.04406771888536076,finite_difference,,True,0.21874586818558978,0.4391939640045166,True,,,False
54,0.68408203125,0.6708984375,0.677490234375,0.0743642756190463,,0.0743642756190463,finite_difference,,True,0.3686918913195031,0.4439988136291504,True,,,False
55,0.6728515625,0.671875,0.67236328125,0.005508464860670095,,0.005508464860670095,finite_difference,,True,0.027289655960529617,0.4435768127441406,True,,,False
56,0.67041015625,0.66357421875,0.6669921875,0.03855925402469067,,0.03855925402469067,finite_difference,,True,0.19202563721658078,0.44046449661254883,True,,,False
57,0.68505859375,0.69287109375,0.68896484375,-0.04406771888536076,,-0.04406771888536076,finite_difference,,True,0.2180418861335124,0.4403975009918213,True,,,False
58,0.6884765625,0.689453125,0.68896484375,-0.005508464860670095,,-0.005508464860670095,finite_difference,,True,0.02734412864203783,0.4391791820526123,True,,,False
59,0.669921875,0.66943359375,0.669677734375,0.0027542324303350477,,0.0027542324303350477,finite_difference,,True,0.013651788652863846,0.43837666511535645,True,,,False
60,0.6884765625,0.68408203125,0.686279296875,0.02478809187301543,,0.02478809187301543,finite_difference,,True,0.122924571068686,0.4442284107208252,True,,,False
61,0.6845703125,0.68505859375,0.684814453125,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.013617031261938351,0.43942761421203613,True,,,False
62,0.67919921875,0.6796875,0.679443359375,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.01362547511764648,0.44130992889404297,True,,,False
63,0.67919921875,0.6796875,0.679443359375,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.01362892411078253,0.4406445026397705,True,,,False
64,0.67626953125,0.68798828125,0.68212890625,-0.06610157832804114,,-0.06610157832804114,finite_difference,,True,0.3275788349154749,0.4387073516845703,True,,,False
65,0.66650390625,0.67236328125,0.66943359375,-0.03305078916402057,,-0.03305078916402057,finite_difference,,True,0.16436100380932397,0.4458789825439453,True,,,False
66,0.68310546875,0.68310546875,0.68310546875,0.0,,0.0,finite_difference,,True,0.0,0.4402449131011963,True,,,False
67,0.67822265625,0.669921875,0.674072265625,0.04682195131569581,,0.04682195131569581,finite_difference,,True,0.2322735880799028,0.44175148010253906,True,,,False
68,0.68603515625,0.6826171875,0.684326171875,0.019279627012345334,,0.019279627012345334,finite_difference,,True,0.09545208278802601,0.442000150680542,True,,,False
69,0.67724609375,0.67236328125,0.6748046875,0.027542324303350477,,0.027542324303350477,finite_difference,,True,0.13673984515119578,0.4381589889526367,True,,,False
70,0.68603515625,0.6875,0.686767578125,-0.008262697291005143,,-0.008262697291005143,finite_difference,,True,0.040872041975027876,0.4386143684387207,True,,,False
71,0.6796875,0.677734375,0.6787109375,0.01101692972134019,,0.01101692972134019,finite_difference,,True,0.054683765235400306,0.4403650760650635,True,,,False
72,0.6875,0.6943359375,0.69091796875,-0.03855925402469067,,-0.03855925402469067,finite_difference,,True,0.1907413031495101,0.4394686222076416,True,,,False
73,0.67822265625,0.67822265625,0.67822265625,0.0,,0.0,finite_difference,,True,0.0,0.4415924549102783,True,,,False
74,0.69921875,0.6982421875,0.69873046875,0.005508464860670095,,0.005508464860670095,finite_difference,,True,0.027291820155340873,0.4403245449066162,True,,,False
75,0.68212890625,0.68408203125,0.68310546875,-0.01101692972134019,,-0.01101692972134019,finite_difference,,True,0.054596512576879044,0.4424929618835449,True,,,False
76,0.68798828125,0.69140625,0.689697265625,-0.019279627012345334,,-0.019279627012345334,finite_difference,,True,0.09528615254508441,0.4414842128753662,True,,,False
77,0.68359375,0.68505859375,0.684326171875,-0.008262697291005143,,-0.008262697291005143,finite_difference,,True,0.04099477403597214,0.43893957138061523,True,,,False
78,0.68798828125,0.685546875,0.686767578125,0.013771162151675238,,0.013771162151675238,finite_difference,,True,0.06823605202279917,0.4421348571777344,True,,,False
79,0.68017578125,0.681640625,0.680908203125,-0.008262697291005143,,-0.008262697291005143,finite_difference,,True,0.041007801742660895,0.4399905204772949,True,,,False
80,0.65673828125,0.671875,0.664306640625,-0.08538120534038648,,-0.08538120534038648,finite_difference,,True,0.4225711389456776,0.4389348030090332,True,,,False
81,0.6865234375,0.68310546875,0.684814453125,0.019279627012345334,,0.019279627012345334,finite_difference,,True,0.09535005932609614,0.4405219554901123,True,,,False
82,0.67041015625,0.68017578125,0.67529296875,-0.05508464860670095,,-0.05508464860670095,finite_difference,,True,0.2735035683280855,0.43993473052978516,True,,,False
83,0.689453125,0.6904296875,0.68994140625,-0.005508464860670095,,-0.005508464860670095,finite_difference,,True,0.027321082279630766,0.44288063049316406,True,,,False
84,0.6806640625,0.68603515625,0.683349609375,-0.030296556733685524,,-0.030296556733685524,finite_difference,,True,0.15021122981926574,0.4413285255432129,True,,,False
85,0.703125,0.70068359375,0.701904296875,0.013771162151675238,,0.013771162151675238,finite_difference,,True,0.06820598918983375,0.4398221969604492,True,,,False
86,0.6943359375,0.693359375,0.69384765625,0.005508464860670095,,0.005508464860670095,finite_difference,,True,0.027220207546151343,0.44101881980895996,True,,,False
87,0.67333984375,0.68017578125,0.6767578125,-0.03855925402469067,,-0.03855925402469067,finite_difference,,True,0.19098626845230166,0.4415428638458252,True,,,False
88,0.68017578125,0.685546875,0.682861328125,-0.030296556733685524,,-0.030296556733685524,finite_difference,,True,0.15029422377204402,0.44298505783081055,True,,,False
89,0.67578125,0.66943359375,0.672607421875,0.03580502159435562,,0.03580502159435562,finite_difference,,True,0.17730476248293384,0.43868541717529297,True,,,False
90,0.67529296875,0.66796875,0.671630859375,0.041313486455025715,,0.041313486455025715,finite_difference,,True,0.20489873347158172,0.4402632713317871,True,,,False
91,0.66748046875,0.67578125,0.671630859375,-0.04682195131569581,,-0.04682195131569581,finite_difference,,True,0.232274581692184,0.44060230255126953,True,,,False
92,0.67822265625,0.67919921875,0.6787109375,-0.005508464860670095,,-0.005508464860670095,finite_difference,,True,0.027306650154615156,0.44452619552612305,True,,,False
93,0.68212890625,0.68212890625,0.68212890625,0.0,,0.0,finite_difference,,True,0.0,0.440997838973999,True,,,False
94,0.68505859375,0.681640625,0.683349609375,0.019279627012345334,,0.019279627012345334,finite_difference,,True,0.09555193636232433,0.4409322738647461,True,,,False
95,0.669921875,0.669921875,0.669921875,0.0,,0.0,finite_difference,,True,0.0,0.44602084159851074,True,,,False
96,0.697265625,0.69384765625,0.695556640625,0.019279627012345334,,0.019279627012345334,finite_difference,,True,0.095815099895386,0.4383738040924072,True,,,False
97,0.6689453125,0.6806640625,0.6748046875,-0.06610157832804114,,-0.06610157832804114,finite_difference,,True,0.3273277611937949,0.43784523010253906,True,,,False
98,0.68115234375,0.681640625,0.681396484375,-0.0027542324303350477,,-0.0027542324303350477,finite_difference,,True,0.013627750863036019,0.43961620330810547,True,,,False
