step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,0.68359375,0.68408203125,0.683837890625,-0.244140625,,-0.244140625,finite_difference,,True,1.2110534487451015,1.597578763961792,True,,,False
2,0.66943359375,0.669921875,0.669677734375,-0.244140625,,-0.244140625,finite_difference,,True,1.208323045628922,0.4431633949279785,True,,,False
3,0.6728515625,0.67333984375,0.673095703125,-0.244140625,,-0.244140625,finite_difference,,True,1.2130888360848027,0.4454634189605713,True,,,False
4,0.671875,0.6728515625,0.67236328125,-0.48828125,,-0.48828125,finite_difference,,True,2.419816956709848,0.4453012943267822,True,,,False
5,0.68994140625,0.68994140625,0.68994140625,0.0,,0.0,finite_difference,,True,0.0,0.4436461925506592,True,,,False
6,0.69287109375,0.69287109375,0.69287109375,0.0,,0.0,finite_difference,,True,0.0,0.44302988052368164,True,,,False
7,0.6533203125,0.65283203125,0.653076171875,0.244140625,,0.244140625,finite_difference,,True,1.2079433670148154,0.4453010559082031,True,,,False
8,0.681640625,0.68212890625,0.681884765625,-0.244140625,,-0.244140625,finite_difference,,True,1.210464214535967,0.4425215721130371,True,,,False
9,0.6875,0.68701171875,0.687255859375,0.244140625,,0.244140625,finite_difference,,True,1.2082564839865884,0.4426407814025879,True,,,False
10,0.66650390625,0.66748046875,0.6669921875,-0.48828125,,-0.48828125,finite_difference,,True,2.419678898906379,0.44258999824523926,True,,,False
11,0.69873046875,0.69921875,0.698974609375,-0.244140625,,-0.244140625,finite_difference,,True,1.209842643148229,0.4418301582336426,True,,,False
12,0.69775390625,0.697265625,0.697509765625,0.244140625,,0.244140625,finite_difference,,True,1.212947280887547,0.4436492919921875,True,,,False
13,0.70703125,0.70751953125,0.707275390625,-0.244140625,,-0.244140625,finite_difference,,True,1.2102690362562036,0.4443047046661377,True,,,False
14,0.6806640625,0.6806640625,0.6806640625,0.0,,0.0,finite_difference,,True,0.0,0.4437892436981201,True,,,False
15,0.669921875,0.669921875,0.669921875,0.0,,0.0,finite_difference,,True,0.0,0.4444446563720703,True,,,False
16,0.6611328125,0.6611328125,0.6611328125,0.0,,0.0,finite_difference,,True,0.0,0.4441056251525879,True,,,False
17,0.681640625,0.6826171875,0.68212890625,-0.48828125,,-0.48828125,finite_difference,,True,2.4173505444162497,0.44681477546691895,True,,,False
18,0.69384765625,0.6943359375,0.694091796875,-0.244140625,,-0.244140625,finite_difference,,True,1.2083997196426637,0.4470996856689453,True,,,False
19,0.69970703125,0.69970703125,0.69970703125,0.0,,0.0,finite_difference,,True,0.0,0.4514596462249756,True,,,False
20,0.677734375,0.677734375,0.677734375,0.0,,0.0,finite_difference,,True,0.0,0.44465112686157227,True,,,False
21,0.67431640625,0.6748046875,0.674560546875,-0.244140625,,-0.244140625,finite_difference,,True,1.210760974476387,0.44365620613098145,True,,,False
22,0.671875,0.67236328125,0.672119140625,-0.244140625,,-0.244140625,finite_difference,,True,1.210089623340247,0.4485197067260742,True,,,False
23,0.6943359375,0.6943359375,0.6943359375,0.0,,0.0,finite_difference,,True,0.0,0.4431889057159424,True,,,False
24,0.6806640625,0.6806640625,0.6806640625,0.0,,0.0,finite_difference,,True,0.0,0.44405126571655273,True,,,False
25,0.669921875,0.67041015625,0.670166015625,-0.244140625,,-0.244140625,finite_difference,,True,1.2059533030357636,0.4466063976287842,True,,,False
26,0.6904296875,0.6904296875,0.6904296875,0.0,,0.0,finite_difference,,True,0.0,0.4465761184692383,True,,,False
27,0.68115234375,0.68115234375,0.68115234375,0.0,,0.0,finite_difference,,True,0.0,0.4428849220275879,True,,,False
28,0.6865234375,0.6865234375,0.6865234375,0.0,,0.0,finite_difference,,True,0.0,0.44332432746887207,True,,,False
29,0.689453125,0.689453125,0.689453125,0.0,,0.0,finite_difference,,True,0.0,0.4501059055328369,True,,,False
30,0.6669921875,0.6669921875,0.6669921875,0.0,,0.0,finite_difference,,True,0.0,0.44382524490356445,True,,,False
31,0.689453125,0.68896484375,0.689208984375,0.244140625,,0.244140625,finite_difference,,True,1.2032566656082666,0.4455385208129883,True,,,False
