step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.7861328125,1.6181640625,1.7021484375,83.984375,,83.984375,finite_difference,,True,0.5010031323802713,2.5109071731567383,True,,,False
2,1.6572265625,1.6171875,1.63720703125,20.01953125,,20.01953125,finite_difference,,True,0.1194178962565147,0.38390064239501953,True,,,False
3,1.666015625,1.650390625,1.658203125,7.8125,,7.8125,finite_difference,,True,0.04659431158127313,0.38086462020874023,True,,,False
4,1.716796875,1.634765625,1.67578125,41.015625,,41.015625,finite_difference,,True,0.24465560648287607,0.3855459690093994,True,,,False
5,1.6533203125,1.66015625,1.65673828125,-3.41796875,,-3.41796875,finite_difference,,True,0.020389217212912387,0.38122129440307617,True,,,False
6,1.75,1.9501953125,1.85009765625,-100.09765625,,-100.09765625,finite_difference,,True,0.5970808331161707,0.3795766830444336,True,,,False
7,1.677734375,1.7197265625,1.69873046875,-20.99609375,,-20.99609375,finite_difference,,True,0.12527199821815121,0.37981152534484863,True,,,False
8,1.7578125,1.76171875,1.759765625,-1.953125,,-1.953125,finite_difference,,True,0.011650435972157152,0.38580942153930664,True,,,False
9,1.73828125,1.8173828125,1.77783203125,-39.55078125,,-39.55078125,finite_difference,,True,0.2359072031957602,0.3819587230682373,True,,,False
10,1.732421875,2.048828125,1.890625,-158.203125,,-158.203125,finite_difference,,True,0.943717135178701,0.38111209869384766,True,,,False
11,1.697265625,1.837890625,1.767578125,-70.3125,,-70.3125,finite_difference,,True,0.4193768024530314,0.3806595802307129,True,,,False
12,1.6640625,1.7021484375,1.68310546875,-19.04296875,,-19.04296875,finite_difference,,True,0.11360780435607518,0.3820626735687256,True,,,False
13,1.7001953125,1.76171875,1.73095703125,-30.76171875,,-30.76171875,finite_difference,,True,0.1835007080058102,0.3810856342315674,True,,,False
14,1.7373046875,1.7431640625,1.740234375,-2.9296875,,-2.9296875,finite_difference,,True,0.01748002698117407,0.38167309761047363,True,,,False
15,1.6708984375,1.6748046875,1.6728515625,-1.953125,,-1.953125,finite_difference,,True,0.011649864898662364,0.38134264945983887,True,,,False
16,1.6806640625,1.689453125,1.68505859375,-4.39453125,,-4.39453125,finite_difference,,True,0.026212789430436527,0.38252782821655273,True,,,False
17,1.7060546875,1.7744140625,1.740234375,-34.1796875,,-34.1796875,finite_difference,,True,0.2038972173989838,0.38257431983947754,True,,,False
18,1.6611328125,1.73828125,1.69970703125,-38.57421875,,-38.57421875,finite_difference,,True,0.2300941340184719,0.38658571243286133,True,,,False
19,1.701171875,1.6748046875,1.68798828125,13.18359375,,13.18359375,finite_difference,,True,0.0786421265053791,0.38260889053344727,True,,,False
20,1.7578125,1.603515625,1.6806640625,77.1484375,,77.1484375,finite_difference,,True,0.4601999756071119,0.3865542411804199,True,,,False
21,1.7099609375,1.71875,1.71435546875,-4.39453125,,-4.39453125,finite_difference,,True,0.026212007800341598,0.38189077377319336,True,,,False
22,1.669921875,1.69921875,1.6845703125,-14.6484375,,-14.6484375,finite_difference,,True,0.08738326868467222,0.38578343391418457,True,,,False
23,1.646484375,1.7060546875,1.67626953125,-29.78515625,,-29.78515625,finite_difference,,True,0.1776893963671527,0.3808908462524414,True,,,False
24,1.6708984375,1.6552734375,1.6630859375,7.8125,,7.8125,finite_difference,,True,0.04660240876200259,0.3805208206176758,True,,,False
25,1.673828125,1.59375,1.6337890625,40.0390625,,40.0390625,finite_difference,,True,0.23887194489196206,0.38116931915283203,True,,,False
26,1.646484375,1.6845703125,1.66552734375,-19.04296875,,-19.04296875,finite_difference,,True,0.11361798603074258,0.3808574676513672,True,,,False
27,1.732421875,1.6611328125,1.69677734375,35.64453125,,35.64453125,finite_difference,,True,0.21258731215853832,0.3810088634490967,True,,,False
28,1.6748046875,1.7607421875,1.7177734375,-42.96875,,-42.96875,finite_difference,,True,0.2563285708169635,0.3837740421295166,True,,,False
29,1.6943359375,1.669921875,1.68212890625,12.20703125,,12.20703125,finite_difference,,True,0.07282667810603576,0.3851463794708252,True,,,False
30,1.623046875,1.7705078125,1.69677734375,-73.73046875,,-73.73046875,finite_difference,,True,0.43986210213899585,0.3801853656768799,True,,,False
31,1.6708984375,1.6689453125,1.669921875,0.9765625,,0.9765625,finite_difference,,True,0.005826167512765409,0.380847692489624,True,,,False
32,1.728515625,1.677734375,1.703125,25.390625,,25.390625,finite_difference,,True,0.15147330882607038,0.384993314743042,True,,,False
33,1.6796875,1.73046875,1.705078125,-25.390625,,-25.390625,finite_difference,,True,0.151471405291539,0.38210558891296387,True,,,False
34,1.646484375,1.7685546875,1.70751953125,-61.03515625,,-61.03515625,finite_difference,,True,0.3640983896161759,0.3817026615142822,True,,,False
35,1.64453125,1.693359375,1.6689453125,-24.4140625,,-24.4140625,finite_difference,,True,0.14563263380809988,0.38056063652038574,True,,,False
36,1.6025390625,1.625,1.61376953125,-11.23046875,,-11.23046875,finite_difference,,True,0.06697647799637046,0.38198161125183105,True,,,False
37,1.62890625,1.630859375,1.6298828125,-0.9765625,,-0.9765625,finite_difference,,True,0.005825715266909068,0.3819999694824219,True,,,False
38,1.6875,1.6708984375,1.67919921875,8.30078125,,8.30078125,finite_difference,,True,0.04951158275599968,0.37983107566833496,True,,,False
39,1.5888671875,1.6552734375,1.6220703125,-33.203125,,-33.203125,finite_difference,,True,0.19805040841062996,0.5221724510192871,True,,,False
40,1.73046875,1.7421875,1.736328125,-5.859375,,-5.859375,finite_difference,,True,0.034957759822187934,0.38003993034362793,True,,,False
41,1.7392578125,1.623046875,1.68115234375,58.10546875,,58.10546875,finite_difference,,True,0.3466390118776752,0.3818490505218506,True,,,False
