model,task,precision,mode,quantizer,h,h_label,seed,data_seed,train_seed,direction_seed,batch_size,lr,run_name,run_type,max_steps,eval_steps,source_path,stderr_log,recovery_source,status,n_eval_records,steps,best_eval_acc,best_eval_step,final_eval_acc,final_eval_step,best_eval_loss,best_eval_loss_step,final_eval_loss
roberta-large,SST-5,fp32,dense,none,1e-05,1e-5,32,32,32,32,64,1e-06,fp32_h1e-5_seed32_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed32_bs64_ckpt1k/seed32,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed32_bs64_ckpt1k/seed32/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.4566744730679157,20000,0.4566744730679157,20000,1.3911548852920532,20000,1.3911548852920532
roberta-large,SST-5,fp32,dense,none,1e-05,1e-5,64,64,64,64,64,1e-06,fp32_h1e-5_seed64_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed64_bs64_ckpt1k/seed64,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed64_bs64_ckpt1k/seed64/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.44730679156908665,20000,0.44730679156908665,20000,1.3668428659439087,20000,1.3668428659439087
roberta-large,SST-5,fp32,dense,none,1e-05,1e-5,128,128,128,128,64,1e-06,fp32_h1e-5_seed128_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed128_bs64_ckpt1k/seed128,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed128_bs64_ckpt1k/seed128/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.4672131147540984,20000,0.4672131147540984,20000,1.3221629858016968,20000,1.3221629858016968
roberta-large,SST-5,fp32,dense,none,1e-05,1e-5,256,256,256,256,64,1e-06,fp32_h1e-5_seed256_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed256_bs64_ckpt1k/seed256,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-5_seed256_bs64_ckpt1k/seed256/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.45081967213114754,20000,0.45081967213114754,20000,1.386750340461731,20000,1.386750340461731
roberta-large,SST-5,fp32,dense,none,0.0001,1e-4,32,32,32,32,64,1e-06,fp32_h1e-4_seed32_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed32_bs64_ckpt1k/seed32,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed32_bs64_ckpt1k/seed32/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.45901639344262296,20000,0.45901639344262296,20000,1.3881115913391113,20000,1.3881115913391113
roberta-large,SST-5,fp32,dense,none,0.0001,1e-4,64,64,64,64,64,1e-06,fp32_h1e-4_seed64_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed64_bs64_ckpt1k/seed64,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed64_bs64_ckpt1k/seed64/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.44379391100702575,20000,0.44379391100702575,20000,1.368850827217102,20000,1.368850827217102
roberta-large,SST-5,fp32,dense,none,0.0001,1e-4,128,128,128,128,64,1e-06,fp32_h1e-4_seed128_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed128_bs64_ckpt1k/seed128,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed128_bs64_ckpt1k/seed128/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.46604215456674475,20000,0.46604215456674475,20000,1.3216334581375122,20000,1.3216334581375122
roberta-large,SST-5,fp32,dense,none,0.0001,1e-4,256,256,256,256,64,1e-06,fp32_h1e-4_seed256_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed256_bs64_ckpt1k/seed256,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-4_seed256_bs64_ckpt1k/seed256/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.4496487119437939,20000,0.4496487119437939,20000,1.391841173171997,20000,1.391841173171997
roberta-large,SST-5,fp32,dense,none,0.001,1e-3,32,32,32,32,64,1e-06,fp32_h1e-3_seed32_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-3_seed32_bs64_ckpt1k/seed32,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-3_seed32_bs64_ckpt1k/seed32/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.45550351288056207,20000,0.45550351288056207,20000,1.3957672119140625,20000,1.3957672119140625
roberta-large,SST-5,fp32,dense,none,0.001,1e-3,64,64,64,64,64,1e-06,fp32_h1e-3_seed64_bs64_ckpt1k,full,20000,1000,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-3_seed64_bs64_ckpt1k/seed64,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results/fp32_h1e-3_seed64_bs64_ckpt1k/seed64/stderr.log,stderr.log trainer eval records,complete_recovered_from_stderr,20,20000,0.4484777517564403,20000,0.4484777517564403,20000,1.3768460750579834,20000,1.3768460750579834
