model,task,precision,mode,quantizer,h,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,num_sources
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0001,25.61949408227173,-0.2913907333564017,,0.0011168292089307,6.448543320057694,0.128189515911169,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0002,48.16542302742703,-0.1104719017145852,,0.0022551868682217,4.57942078841152,0.1825544026842405,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0003,30.79500719774699,0.1971833521608487,,0.0034135832565683,3.755251983318764,0.2249902957183706,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0005,15.56601961305028,0.2050430346108589,,0.0057834062445888,2.932159944935628,0.2938068647370087,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0007,9.903104669908908,0.3847962334228536,,0.0082122088371262,2.4953959037365303,0.3510111174379318,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.00085,10.835804576925856,0.5626092294041688,,0.0100668107890497,2.275037140520064,0.3892041078923304,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.001,7.925567531921192,0.4264194982008846,,0.0119468708915683,2.106613176334338,0.424518954826892,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0012,8.887881917400502,0.3711450632644663,,0.0144831200946316,1.933064419511503,0.4680159840278681,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0015,5.499377943523933,0.3750456798788916,,0.018333418447542,1.7411971810744644,0.5273000271669306,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0018,3.2917301308237508,0.3674416792568171,,0.022197601530348,1.600411339040703,0.5806914864702283,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.002,2.261004452361515,0.4329563114865918,,0.0247541979534273,1.525754688967642,0.6133212451389584,1
