step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,0.72021484375,0.84130859375,0.78076171875,-57.99477176591043,,-57.99477176591043,finite_difference,,True,0.34601484440762303,0.9571285247802734,True,,,False
2,0.6923828125,0.72119140625,0.706787109375,-13.797143283019013,,-13.797143283019013,finite_difference,,True,0.08231826414507101,0.3869941234588623,True,,,False
3,0.849609375,0.71240234375,0.781005859375,65.71181800895496,,65.71181800895496,finite_difference,,True,0.39202202803731273,0.37990808486938477,True,,,False
4,0.71337890625,0.71240234375,0.712890625,0.4676997723057293,,0.4676997723057293,finite_difference,,True,0.002790363682755882,0.3820984363555908,True,,,False
5,0.77685546875,0.92919921875,0.85302734375,-72.96116447969376,,-72.96116447969376,finite_difference,,True,0.43535128497080444,0.3816208839416504,True,,,False
6,0.701171875,0.86279296875,0.781982421875,-77.4043123165982,,-77.4043123165982,finite_difference,,True,0.4619150102326532,0.38036370277404785,True,,,False
7,0.89501953125,0.68115234375,0.7880859375,102.42625013495471,,102.42625013495471,finite_difference,,True,0.6111708500758621,0.38150715827941895,True,,,False
8,0.84326171875,0.82568359375,0.83447265625,8.418595901503126,,8.418595901503126,finite_difference,,True,0.05021951683855165,0.3771047592163086,True,,,False
9,0.78857421875,0.72705078125,0.7578125,29.465085655260943,,29.465085655260943,finite_difference,,True,0.1757841262118539,0.3808314800262451,True,,,False
10,0.74658203125,0.71875,0.732666015625,13.329443510713284,,13.329443510713284,finite_difference,,True,0.07952624894485759,0.3793020248413086,True,,,False
11,0.72216796875,0.75244140625,0.7373046875,-14.498692941477607,,-14.498692941477607,finite_difference,,True,0.0865082648791626,0.37929415702819824,True,,,False
12,0.78955078125,0.73486328125,0.76220703125,26.19118724912084,,26.19118724912084,finite_difference,,True,0.15626723208147408,0.37854766845703125,True,,,False
13,0.8017578125,0.70556640625,0.753662109375,46.06842757211433,,46.06842757211433,finite_difference,,True,0.2748295537567633,0.3793294429779053,True,,,False
14,0.7333984375,0.70556640625,0.719482421875,13.329443510713284,,13.329443510713284,finite_difference,,True,0.0795142673705115,0.3804967403411865,True,,,False
15,0.6845703125,0.75341796875,0.718994140625,-32.972833947553916,,-32.972833947553916,finite_difference,,True,0.1967313640553247,0.38268160820007324,True,,,False
16,0.82275390625,0.6728515625,0.747802734375,71.79191504892944,,71.79191504892944,finite_difference,,True,0.4283145288914672,0.37930822372436523,True,,,False
17,0.748046875,0.74462890625,0.746337890625,1.6369492030700525,,1.6369492030700525,finite_difference,,True,0.009765568844603854,0.37770771980285645,True,,,False
18,0.78369140625,0.740234375,0.761962890625,20.812639867604954,,20.812639867604954,finite_difference,,True,0.12418204651320955,0.38016724586486816,True,,,False
19,0.70556640625,0.70751953125,0.70654296875,-0.9353995446114586,,-0.9353995446114586,finite_difference,,True,0.00558145389504003,0.38056468963623047,True,,,False
20,0.80078125,0.66650390625,0.733642578125,64.30871869203777,,64.30871869203777,finite_difference,,True,0.3836618861157333,0.3797125816345215,True,,,False
21,0.77783203125,0.71728515625,0.74755859375,28.997385882955214,,28.997385882955214,finite_difference,,True,0.17299843568724627,0.3817729949951172,True,,,False
22,0.69677734375,0.818359375,0.757568359375,-58.228621652063296,,-58.228621652063296,finite_difference,,True,0.34741964254174434,0.38085436820983887,True,,,False
23,0.7265625,0.72021484375,0.723388671875,3.0400485199872405,,3.0400485199872405,finite_difference,,True,0.01814116722880967,0.37966203689575195,True,,,False
24,0.78173828125,0.7177734375,0.749755859375,30.634335086025267,,30.634335086025267,finite_difference,,True,0.18275098255183625,0.3768782615661621,True,,,False
25,0.72705078125,0.744140625,0.735595703125,-8.184746015350262,,-8.184746015350262,finite_difference,,True,0.04883672430104659,0.37948036193847656,True,,,False
26,0.736328125,0.71435546875,0.725341796875,10.523244876878909,,10.523244876878909,finite_difference,,True,0.06276664009162329,0.37740349769592285,True,,,False
27,0.68896484375,0.6748046875,0.681884765625,6.781646698433074,,6.781646698433074,finite_difference,,True,0.040467767326719827,0.37929344177246094,True,,,False
28,0.6826171875,0.7861328125,0.734375,-49.576175864407304,,-49.576175864407304,finite_difference,,True,0.2957015273019807,0.3806338310241699,True,,,False
29,0.7001953125,0.8251953125,0.7626953125,-59.86557085513335,,-59.86557085513335,finite_difference,,True,0.35714802510254756,0.3786489963531494,True,,,False
30,0.689453125,0.7197265625,0.70458984375,-14.498692941477607,,-14.498692941477607,finite_difference,,True,0.0864984792266275,0.38312506675720215,True,,,False
31,0.81982421875,0.69287109375,0.75634765625,60.800970399744806,,60.800970399744806,finite_difference,,True,0.3627101794610853,0.3836095333099365,True,,,False
32,0.7158203125,0.70166015625,0.708740234375,6.781646698433074,,6.781646698433074,finite_difference,,True,0.04046149503499832,0.3790268898010254,True,,,False
33,0.74951171875,0.67041015625,0.7099609375,37.883681556764074,,37.883681556764074,finite_difference,,True,0.22604476737065726,0.3843681812286377,True,,,False
34,0.73779296875,0.78857421875,0.76318359375,-24.320388159897924,,-24.320388159897924,finite_difference,,True,0.145094778230977,0.38151001930236816,True,,,False
35,0.68798828125,0.69384765625,0.69091796875,-2.8061986338343754,,-2.8061986338343754,finite_difference,,True,0.01674517481886623,0.3806016445159912,True,,,False
36,0.69287109375,0.6884765625,0.690673828125,2.1046489753757815,,2.1046489753757815,finite_difference,,True,0.01255690498176123,0.37987756729125977,True,,,False
37,0.7333984375,0.6953125,0.71435546875,18.24029111992344,,18.24029111992344,finite_difference,,True,0.10883316726377316,0.38332033157348633,True,,,False
38,0.68115234375,0.71923828125,0.7001953125,-18.24029111992344,,-18.24029111992344,finite_difference,,True,0.1088573152603666,0.3843858242034912,True,,,False
39,0.6845703125,0.734375,0.70947265625,-23.852688387592192,,-23.852688387592192,finite_difference,,True,0.1422894090383673,0.38076210021972656,True,,,False
40,0.6591796875,0.7138671875,0.6865234375,-26.19118724912084,,-26.19118724912084,finite_difference,,True,0.15627524963070832,0.3795924186706543,True,,,False
41,0.70068359375,0.73291015625,0.716796875,-15.434092486089066,,-15.434092486089066,finite_difference,,True,0.0920929668159716,0.3797001838684082,True,,,False
42,0.7958984375,0.70654296875,0.751220703125,42.794529165974225,,42.794529165974225,finite_difference,,True,0.2553242568274153,0.37953948974609375,True,,,False
43,0.67626953125,0.7939453125,0.735107421875,-56.357822562840376,,-56.357822562840376,finite_difference,,True,0.33616642699036753,0.3788902759552002,True,,,False
44,0.69140625,0.681640625,0.6865234375,4.676997723057292,,4.676997723057292,finite_difference,,True,0.02790938879026631,0.3767380714416504,True,,,False
45,0.7197265625,0.705078125,0.71240234375,7.015496584585939,,7.015496584585939,finite_difference,,True,0.04184846181158582,0.38185930252075195,True,,,False
46,0.828125,0.67578125,0.751953125,72.96116447969376,,72.96116447969376,finite_difference,,True,0.4352488617066012,0.3805513381958008,True,,,False
47,0.689453125,0.6923828125,0.69091796875,-1.4030993169171877,,-1.4030993169171877,finite_difference,,True,0.008372424337675289,0.3820078372955322,True,,,False
48,0.650390625,0.71435546875,0.682373046875,-30.634335086025267,,-30.634335086025267,finite_difference,,True,0.18276808841268044,0.3800547122955322,True,,,False
49,0.68212890625,0.72119140625,0.70166015625,-18.70799089222917,,-18.70799089222917,finite_difference,,True,0.11163508716136725,0.3819408416748047,True,,,False
50,0.7060546875,0.68896484375,0.697509765625,8.184746015350262,,8.184746015350262,finite_difference,,True,0.04884523920599875,0.3807637691497803,True,,,False
51,0.74951171875,0.68603515625,0.7177734375,30.400485199872403,,30.400485199872403,finite_difference,,True,0.18140147848233812,0.379852294921875,True,,,False
52,0.6806640625,0.6796875,0.68017578125,0.4676997723057293,,0.4676997723057293,finite_difference,,True,0.002790573360847628,0.38071680068969727,True,,,False
53,0.6845703125,0.73681640625,0.710693359375,-25.021937818356516,,-25.021937818356516,finite_difference,,True,0.1492772051143761,0.3777005672454834,True,,,False
54,0.68603515625,0.7919921875,0.739013671875,-50.74542529517163,,-50.74542529517163,finite_difference,,True,0.30277208140954565,0.37962961196899414,True,,,False
55,0.69140625,0.6484375,0.669921875,20.578789981452086,,20.578789981452086,finite_difference,,True,0.12278264321455712,0.38239192962646484,True,,,False
56,0.70068359375,0.6728515625,0.686767578125,13.329443510713284,,13.329443510713284,finite_difference,,True,0.07953933824233861,0.3795597553253174,True,,,False
57,0.701171875,0.69921875,0.7001953125,0.9353995446114586,,0.9353995446114586,finite_difference,,True,0.005580976482868074,0.3810157775878906,True,,,False
58,0.6767578125,0.7041015625,0.6904296875,-13.09559362456042,,-13.09559362456042,finite_difference,,True,0.07814270583364567,0.379636287689209,True,,,False
59,0.681640625,0.68798828125,0.684814453125,-3.0400485199872405,,-3.0400485199872405,finite_difference,,True,0.01813862433489588,0.3788301944732666,True,,,False
60,0.68212890625,0.701171875,0.691650390625,-9.12014555996172,,-9.12014555996172,finite_difference,,True,0.054418864660309624,0.3811988830566406,True,,,False
