step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.10546875,1.10546875,1.10546875,0.0,,0.0,finite_difference,,True,0.0,1.0110104084014893,True,,,False
2,1.1748046875,1.17578125,1.17529296875,-0.48828125,,-0.48828125,finite_difference,,True,2.4174505679799223,0.4732952117919922,True,,,False
3,1.10546875,1.1064453125,1.10595703125,-0.48828125,,-0.48828125,finite_difference,,True,2.415727518773069,0.45604944229125977,True,,,False
4,1.1220703125,1.123046875,1.12255859375,-0.48828125,,-0.48828125,finite_difference,,True,2.423066134355105,0.4650297164916992,True,,,False
5,1.1201171875,1.1201171875,1.1201171875,0.0,,0.0,finite_difference,,True,0.0,0.48021435737609863,True,,,False
6,1.2451171875,1.244140625,1.24462890625,0.48828125,,0.48828125,finite_difference,,True,2.416557689179271,0.4668424129486084,True,,,False
7,1.2421875,1.2412109375,1.24169921875,0.48828125,,0.48828125,finite_difference,,True,2.41775330811266,0.47477293014526367,True,,,False
8,1.2568359375,1.2578125,1.25732421875,-0.48828125,,-0.48828125,finite_difference,,True,2.4135704640294287,0.45110177993774414,True,,,False
9,1.16796875,1.1669921875,1.16748046875,0.48828125,,0.48828125,finite_difference,,True,2.4234808322205477,0.45149827003479004,True,,,False
10,1.15625,1.1572265625,1.15673828125,-0.48828125,,-0.48828125,finite_difference,,True,2.418226708540562,0.469343900680542,True,,,False
11,1.1064453125,1.1064453125,1.1064453125,0.0,,0.0,finite_difference,,True,0.0,0.4524211883544922,True,,,False
12,1.13671875,1.1376953125,1.13720703125,-0.48828125,,-0.48828125,finite_difference,,True,2.414567275272137,0.5299298763275146,True,,,False
13,1.1015625,1.1015625,1.1015625,0.0,,0.0,finite_difference,,True,0.0,0.46634817123413086,True,,,False
14,1.1357421875,1.134765625,1.13525390625,0.48828125,,0.48828125,finite_difference,,True,2.424216118001953,0.46115899085998535,True,,,False
15,1.1845703125,1.1845703125,1.1845703125,0.0,,0.0,finite_difference,,True,0.0,0.46141886711120605,True,,,False
16,1.205078125,1.205078125,1.205078125,0.0,,0.0,finite_difference,,True,0.0,0.458160400390625,True,,,False
17,1.1689453125,1.169921875,1.16943359375,-0.48828125,,-0.48828125,finite_difference,,True,2.4199778349789796,0.4564783573150635,True,,,False
18,1.126953125,1.1279296875,1.12744140625,-0.48828125,,-0.48828125,finite_difference,,True,2.4174753348470848,0.45616650581359863,True,,,False
19,1.056640625,1.056640625,1.056640625,0.0,,0.0,finite_difference,,True,0.0,0.45967721939086914,True,,,False
20,1.2158203125,1.21484375,1.21533203125,0.48828125,,0.48828125,finite_difference,,True,2.418570748992053,0.45966649055480957,True,,,False
21,1.1650390625,1.1650390625,1.1650390625,0.0,,0.0,finite_difference,,True,0.0,0.48487019538879395,True,,,False
22,1.185546875,1.185546875,1.185546875,0.0,,0.0,finite_difference,,True,0.0,0.45831799507141113,True,,,False
