step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.869140625,1.8671875,1.8681640625,0.9765625,,0.9765625,finite_difference,,True,4.838143771487439,1.5684876441955566,True,,,False
2,1.9501953125,1.951171875,1.95068359375,-0.48828125,,-0.48828125,finite_difference,,True,2.4174505679799223,0.43828582763671875,True,,,False
3,1.9072265625,1.9072265625,1.9072265625,0.0,,0.0,finite_difference,,True,0.0,0.4374122619628906,True,,,False
4,1.970703125,1.970703125,1.970703125,0.0,,0.0,finite_difference,,True,0.0,0.438734769821167,True,,,False
5,1.912109375,1.912109375,1.912109375,0.0,,0.0,finite_difference,,True,0.0,0.43514561653137207,True,,,False
6,1.8828125,1.880859375,1.8818359375,0.9765625,,0.9765625,finite_difference,,True,4.833115378358542,0.44208765029907227,True,,,False
7,1.8642578125,1.8642578125,1.8642578125,0.0,,0.0,finite_difference,,True,0.0,0.442180871963501,True,,,False
8,1.935546875,1.9365234375,1.93603515625,-0.48828125,,-0.48828125,finite_difference,,True,2.4135704640294287,0.43500638008117676,True,,,False
9,2.0,1.998046875,1.9990234375,0.9765625,,0.9765625,finite_difference,,True,4.846961664441095,0.43512892723083496,True,,,False
10,2.01171875,2.01171875,2.01171875,0.0,,0.0,finite_difference,,True,0.0,0.45172119140625,True,,,False
11,2.0,1.998046875,1.9990234375,0.9765625,,0.9765625,finite_difference,,True,4.838651926648255,0.43758320808410645,True,,,False
12,1.9423828125,1.943359375,1.94287109375,-0.48828125,,-0.48828125,finite_difference,,True,2.414567275272137,0.43496084213256836,True,,,False
13,2.04296875,2.044921875,2.0439453125,-0.9765625,,-0.9765625,finite_difference,,True,4.834489296045733,0.4506990909576416,True,,,False
14,2.03515625,2.037109375,2.0361328125,-0.9765625,,-0.9765625,finite_difference,,True,4.848432236003906,0.43718504905700684,True,,,False
15,1.966796875,1.96484375,1.9658203125,0.9765625,,0.9765625,finite_difference,,True,4.8416285471307905,0.43541407585144043,True,,,False
16,1.9853515625,1.98828125,1.98681640625,-1.46484375,,-1.46484375,finite_difference,,True,7.271828037349321,0.4448840618133545,True,,,False
17,1.9462890625,1.9462890625,1.9462890625,0.0,,0.0,finite_difference,,True,0.0,0.4349987506866455,True,,,False
18,2.013671875,2.013671875,2.013671875,0.0,,0.0,finite_difference,,True,0.0,0.43531107902526855,True,,,False
19,2.03515625,2.03515625,2.03515625,0.0,,0.0,finite_difference,,True,0.0,0.45164918899536133,True,,,False
20,1.943359375,1.943359375,1.943359375,0.0,,0.0,finite_difference,,True,0.0,0.43466758728027344,True,,,False
21,1.90625,1.9072265625,1.90673828125,-0.48828125,,-0.48828125,finite_difference,,True,2.417832782156085,0.4347109794616699,True,,,False
22,1.9677734375,1.9677734375,1.9677734375,0.0,,0.0,finite_difference,,True,0.0,0.45114803314208984,True,,,False
23,2.00390625,2.001953125,2.0029296875,0.9765625,,0.9765625,finite_difference,,True,4.843863727557358,0.4352564811706543,True,,,False
