step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,0.7529296875,0.697265625,0.72509765625,27.83203125,,27.83203125,finite_difference,,True,0.16593262521815816,2.0375633239746094,True,,,False
2,0.82470703125,0.69921875,0.761962890625,62.744140625,,62.744140625,finite_difference,,True,0.37422416249712603,0.38448500633239746,True,,,False
3,0.6982421875,0.6962890625,0.697265625,0.9765625,,0.9765625,finite_difference,,True,0.0058218917195097105,0.3800933361053467,True,,,False
4,0.7021484375,0.69140625,0.69677734375,5.37109375,,5.37109375,finite_difference,,True,0.03202453174056665,0.3782966136932373,True,,,False
5,0.70068359375,0.6923828125,0.696533203125,4.150390625,,4.150390625,finite_difference,,True,0.02474849906274224,0.38471293449401855,True,,,False
6,0.6318359375,0.63037109375,0.631103515625,0.732421875,,0.732421875,finite_difference,,True,0.004367480135092297,0.3792276382446289,True,,,False
7,0.6787109375,0.62744140625,0.653076171875,25.634765625,,25.634765625,finite_difference,,True,0.152855712584511,0.3781898021697998,True,,,False
8,0.6796875,0.662109375,0.6708984375,8.7890625,,8.7890625,finite_difference,,True,0.05241569553154595,0.38296079635620117,True,,,False
9,0.70849609375,0.6845703125,0.696533203125,11.962890625,,11.962890625,finite_difference,,True,0.07134902172884866,0.3801257610321045,True,,,False
10,0.6962890625,0.67138671875,0.683837890625,12.451171875,,12.451171875,finite_difference,,True,0.07424568814424844,0.37863636016845703,True,,,False
11,0.6904296875,0.68017578125,0.685302734375,5.126953125,,5.126953125,finite_difference,,True,0.030565192228381707,0.3810727596282959,True,,,False
12,0.68798828125,0.73876953125,0.71337890625,-25.390625,,-25.390625,finite_difference,,True,0.15142782921708706,0.38234591484069824,True,,,False
13,0.6748046875,0.65576171875,0.665283203125,9.521484375,,9.521484375,finite_difference,,True,0.05677563674782595,0.3773500919342041,True,,,False
14,0.68701171875,0.69384765625,0.6904296875,-3.41796875,,-3.41796875,finite_difference,,True,0.020380421626072634,0.37897205352783203,True,,,False
15,0.6982421875,0.7939453125,0.74609375,-47.8515625,,-47.8515625,finite_difference,,True,0.2853687354968274,0.3839855194091797,True,,,False
16,0.654296875,0.69580078125,0.675048828125,-20.751953125,,-20.751953125,finite_difference,,True,0.1237460246487838,0.3777487277984619,True,,,False
17,0.7314453125,0.68798828125,0.709716796875,21.728515625,,21.728515625,finite_difference,,True,0.12957224601072795,0.3759574890136719,True,,,False
18,0.74462890625,0.68212890625,0.71337890625,31.25,,31.25,finite_difference,,True,0.18633074718931905,0.3854031562805176,True,,,False
19,0.6865234375,0.67333984375,0.679931640625,6.591796875,,6.591796875,finite_difference,,True,0.0393101351244806,0.38454651832580566,True,,,False
20,0.64892578125,0.6650390625,0.656982421875,-8.056640625,,-8.056640625,finite_difference,,True,0.0480249919771803,0.3783910274505615,True,,,False
21,0.6943359375,0.69775390625,0.696044921875,-1.708984375,,-1.708984375,finite_difference,,True,0.010189422090834573,0.3801736831665039,True,,,False
22,0.68994140625,0.72021484375,0.705078125,-15.13671875,,-15.13671875,finite_difference,,True,0.09026816513918773,0.384598970413208,True,,,False
23,0.6533203125,0.66943359375,0.661376953125,-8.056640625,,-8.056640625,finite_difference,,True,0.04804608769547728,0.5740141868591309,True,,,False
24,0.69970703125,0.70556640625,0.70263671875,-2.9296875,,-2.9296875,finite_difference,,True,0.017465812226275534,0.3760712146759033,True,,,False
25,0.677734375,0.6884765625,0.68310546875,-5.37109375,,-5.37109375,finite_difference,,True,0.032026460030439824,0.38327908515930176,True,,,False
26,0.66796875,0.76171875,0.71484375,-46.875,,-46.875,finite_difference,,True,0.27953101489164506,0.37654733657836914,True,,,False
27,0.759765625,0.7021484375,0.73095703125,28.80859375,,28.80859375,finite_difference,,True,0.17177220375913888,0.3763852119445801,True,,,False
28,0.76416015625,0.681640625,0.722900390625,41.259765625,,41.259765625,finite_difference,,True,0.2460394529921752,0.3910832405090332,True,,,False
29,0.6484375,0.650390625,0.6494140625,-0.9765625,,-0.9765625,finite_difference,,True,0.0058221146071062435,0.37697315216064453,True,,,False
30,0.69775390625,0.7001953125,0.698974609375,-1.220703125,,-1.220703125,finite_difference,,True,0.00727967093055717,0.3800492286682129,True,,,False
