step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.955078125,2.0703125,2.0126953125,-57.6171875,,-57.6171875,finite_difference,,True,0.3436316197801335,1.594226360321045,True,,,False
2,1.779296875,2.109375,1.9443359375,-165.0390625,,-165.0390625,finite_difference,,True,0.9843106246409054,0.372509241104126,True,,,False
3,1.9921875,2.0,1.99609375,-3.90625,,-3.90625,finite_difference,,True,0.023292609384554165,0.3883342742919922,True,,,False
4,2.09375,2.05078125,2.072265625,21.484375,,21.484375,finite_difference,,True,0.12813565499128726,0.3738415241241455,True,,,False
5,1.7734375,2.068359375,1.9208984375,-147.4609375,,-147.4609375,finite_difference,,True,0.8793476953523902,0.37296056747436523,True,,,False
6,1.9150390625,2.029296875,1.97216796875,-57.12890625,,-57.12890625,finite_difference,,True,0.34076456599970556,0.37106943130493164,True,,,False
7,1.8720703125,2.02734375,1.94970703125,-77.63671875,,-77.63671875,finite_difference,,True,0.4629868721428799,0.3768453598022461,True,,,False
8,2.09765625,2.1015625,2.099609375,-1.953125,,-1.953125,finite_difference,,True,0.011648913119858209,0.37299513816833496,True,,,False
9,1.880859375,1.94140625,1.9111328125,-30.2734375,,-30.2734375,finite_difference,,True,0.18061264850435557,0.3729584217071533,True,,,False
10,1.9482421875,1.9990234375,1.9736328125,-25.390625,,-25.390625,finite_difference,,True,0.15143218251590498,0.3771069049835205,True,,,False
11,2.00390625,2.013671875,2.0087890625,-4.8828125,,-4.8828125,finite_difference,,True,0.029111357774766016,0.3730792999267578,True,,,False
12,2.16015625,1.951171875,2.0556640625,104.4921875,,104.4921875,finite_difference,,True,0.6232124993432244,0.3711681365966797,True,,,False
13,2.07421875,1.90625,1.990234375,83.984375,,83.984375,finite_difference,,True,0.5009078960320048,0.3702714443206787,True,,,False
14,2.01953125,1.890625,1.955078125,64.453125,,64.453125,finite_difference,,True,0.3843912445649606,0.3731250762939453,True,,,False
15,1.9765625,2.0859375,2.03125,-54.6875,,-54.6875,finite_difference,,True,0.32616585218651317,0.3745269775390625,True,,,False
16,2.158203125,2.0078125,2.0830078125,75.1953125,,75.1953125,finite_difference,,True,0.44857015558425534,0.3708968162536621,True,,,False
17,1.896484375,2.025390625,1.9609375,-64.453125,,-64.453125,finite_difference,,True,0.38438419940571034,0.37308406829833984,True,,,False
18,1.9423828125,1.9345703125,1.9384765625,3.90625,,3.90625,finite_difference,,True,0.023296121912928142,0.3728907108306885,True,,,False
19,1.9365234375,2.017578125,1.97705078125,-40.52734375,,-40.52734375,finite_difference,,True,0.24172191424096207,0.37040042877197266,True,,,False
20,1.859375,1.953125,1.90625,-46.875,,-46.875,finite_difference,,True,0.2795554551368583,0.3706324100494385,True,,,False
21,1.908203125,1.9453125,1.9267578125,-18.5546875,,-18.5546875,finite_difference,,True,0.11063902306261596,0.3759291172027588,True,,,False
22,2.064453125,1.9375,2.0009765625,63.4765625,,63.4765625,finite_difference,,True,0.3784626496502255,0.370837926864624,True,,,False
23,2.14453125,1.861328125,2.0029296875,141.6015625,,141.6015625,finite_difference,,True,0.8444896686451338,0.37290239334106445,True,,,False
24,1.865234375,2.080078125,1.97265625,-107.421875,,-107.421875,finite_difference,,True,0.6405804837459286,0.3823413848876953,True,,,False
25,1.7939453125,1.9521484375,1.873046875,-79.1015625,,-79.1015625,finite_difference,,True,0.4717883205992182,0.37093663215637207,True,,,False
26,2.1171875,1.9052734375,2.01123046875,105.95703125,,105.95703125,finite_difference,,True,0.6318560445874647,0.37069272994995117,True,,,False
27,1.9716796875,1.759765625,1.86572265625,105.95703125,,105.95703125,finite_difference,,True,0.631803583474487,0.37072038650512695,True,,,False
28,1.94140625,2.001953125,1.9716796875,-30.2734375,,-30.2734375,finite_difference,,True,0.1805254749940975,0.3766806125640869,True,,,False
29,1.978515625,1.943359375,1.9609375,17.578125,,17.578125,finite_difference,,True,0.1048269588609149,0.3731808662414551,True,,,False
30,1.8408203125,1.8837890625,1.8623046875,-21.484375,,-21.484375,finite_difference,,True,0.12813970284200252,0.37095046043395996,True,,,False
31,1.904296875,1.8896484375,1.89697265625,7.32421875,,7.32421875,finite_difference,,True,0.04367452667899403,0.3750591278076172,True,,,False
32,1.8623046875,1.7392578125,1.80078125,61.5234375,,61.5234375,finite_difference,,True,0.3669113738651996,0.3707115650177002,True,,,False
33,2.08984375,1.97265625,2.03125,58.59375,,58.59375,finite_difference,,True,0.3494222167167976,0.3709590435028076,True,,,False
34,2.041015625,1.9619140625,2.00146484375,39.55078125,,39.55078125,finite_difference,,True,0.23581268331510513,0.37251806259155273,True,,,False
35,1.9580078125,1.9150390625,1.9365234375,21.484375,,21.484375,finite_difference,,True,0.1281321365790172,0.374591588973999,True,,,False
36,1.875,1.94921875,1.912109375,-37.109375,,-37.109375,finite_difference,,True,0.2213085900691569,0.3708679676055908,True,,,False
37,1.9853515625,1.8603515625,1.9228515625,62.5,,62.5,finite_difference,,True,0.3727879898347836,0.37111878395080566,True,,,False
38,1.9091796875,1.859375,1.88427734375,24.90234375,,24.90234375,finite_difference,,True,0.14852001048233615,0.3785531520843506,True,,,False
39,1.939453125,2.263671875,2.1015625,-162.109375,,-162.109375,finite_difference,,True,0.9668715917124594,0.3739504814147949,True,,,False
40,1.9208984375,1.8125,1.86669921875,54.19921875,,54.19921875,finite_difference,,True,0.3232125721110888,0.37072062492370605,True,,,False
41,2.001953125,1.849609375,1.92578125,76.171875,,76.171875,finite_difference,,True,0.4543052664102936,0.37923383712768555,True,,,False
42,1.9755859375,1.931640625,1.95361328125,21.97265625,,21.97265625,finite_difference,,True,0.13105445904747756,0.37154579162597656,True,,,False
43,1.9697265625,1.935546875,1.95263671875,17.08984375,,17.08984375,finite_difference,,True,0.10193852976480462,0.3703029155731201,True,,,False
44,1.9267578125,1.9384765625,1.9326171875,-5.859375,,-5.859375,finite_difference,,True,0.034945317013662,0.37254786491394043,True,,,False
45,1.701171875,1.8681640625,1.78466796875,-83.49609375,,-83.49609375,finite_difference,,True,0.49796822151512443,0.37555956840515137,True,,,False
